PLAYER;TEAM;Games;Season;C3R;C3R_A;E3R;E3R_A;Ce3R;Ce3R_A;Ce3L;Ce3L_A;E3L;E3L_A;C3L;C3L_A;MBR;MBR_A;MER;MER_A;MEL;MEL_A;MBL;MBL_A;PR;PR_A;PC;PC_A;PL;PL_A
RAKIM SANDERS;BAR       ;15;18;1;4;8;17;0;4;2;4;2;13;2;2;2;4;0;5;2;6;2;9;17;28;10;17;5;10
JOAN SASTRE;PAM       ;17;18;4;5;3;12;1;2;2;4;6;10;2;2;0;0;0;3;0;2;0;2;10;18;3;7;4;7
YIGITCAN SAYBIR;IST       ;2;18;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1
ITAY SEGEV;TEL       ;8;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;1;2;4;11;0;1
KEVIN SERAPHIN;BAR       ;15;18;0;0;0;0;0;0;0;1;0;0;0;0;2;5;6;13;7;16;2;8;18;23;28;41;10;19
TORNIKE SHENGELIA;BAS       ;33;18;2;3;6;15;0;6;1;6;6;13;0;1;4;14;5;16;6;13;4;8;61;93;45;68;29;39
GIORGI SHERMADINI;MAL       ;22;18;0;0;0;0;0;0;0;0;0;0;0;0;1;3;2;12;1;4;0;0;17;30;20;35;6;12
ALEXEY SHVED;KHI       ;34;18;3;6;37;113;23;73;18;51;22;68;4;8;11;28;13;35;12;30;5;23;28;41;51;78;12;29
KRUNOSLAV SIMON;IST       ;26;18;1;4;9;28;8;22;11;23;6;26;3;7;6;14;6;14;8;18;3;11;6;10;6;16;10;21
CHRIS SINGLETON;PAN       ;34;18;2;3;16;35;11;25;7;21;20;35;2;7;1;8;3;10;5;12;4;14;9;13;14;30;6;16
KOSTAS SLOUKAS;ULK       ;35;18;0;2;12;33;15;28;9;28;6;14;0;2;6;18;11;30;11;32;2;9;19;26;4;12;21;34
DMITRY SOKOLOV;KHI       ;1;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
MO SOLUADE;MAL       ;9;18;0;0;1;6;1;2;0;1;2;8;0;1;0;1;1;2;1;4;0;0;0;0;3;4;1;1
VASSILIS SPANOULIS;OLY       ;24;18;1;3;17;45;9;33;11;27;3;13;0;1;1;3;11;29;7;17;1;9;15;29;15;27;14;23
LUCCA STAIGER;BAM       ;23;18;5;5;6;24;3;5;1;5;12;28;5;9;0;1;0;0;0;0;1;5;0;0;0;0;0;1
VLADIMIR STIMAC;IST       ;30;18;0;0;0;1;0;1;0;0;0;0;0;0;4;8;5;16;7;14;1;4;25;36;52;83;18;29
JANIS STRELNIEKS;OLY       ;33;18;1;3;7;16;9;23;6;16;13;35;2;2;4;9;5;18;7;17;7;11;6;10;7;9;4;9
CARLOS SUAREZ;MAL       ;29;18;2;3;7;16;2;6;1;6;6;17;1;4;0;4;0;4;1;3;0;4;9;17;5;10;7;12
KALEB TARCZEWSKI;MIL       ;30;18;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;2;2;2;26;34;31;47;5;14
WALTER TAVARES;MAD       ;29;18;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;5;2;5;0;0;30;38;26;40;15;20
BRYCE TAYLOR;BAM       ;10;18;0;2;4;6;1;3;1;4;3;10;4;5;1;2;2;7;2;6;0;0;4;5;3;5;0;0
