player;height;position;year_born;nationality
DZENAN KURTIC;2.06;Center;1992;France
MUSTAFA KURTULDUM;1.96;Forward;2001;Turkey
ARTURS KURUCS;1.90;Guard;2000;Latvia
RODIONS KURUCS;2.06;Forward;1998;Latvia
DAVOR KUS;1.90;Guard;1978;Croatia
IBRAHIM KUTLUAY;1.98;Guard;1974;Turkey
VLADIMIR KUZMANOVIC;1.96;Guard;1974;Serbia
OGNJEN KUZMIC;2.13;Center;1990;Serbia
MINDAUGAS KUZMINSKAS;2.05;Forward;1989;Lithuania
SAULIUS KUZMINSKAS;2.11;Center;1982;Lithuania
SIMONAS KYMANTAS;2.08;Forward;1993;Lithuania
ALEXANDROS KYRITSIS;1.92;Guard;1982;Greece
ANTONY LABANCA;1.92;;1994;France
SEAN LABANOWSKI;2.02;Forward;1992;Israel
LOUIS LABEYRIE;2.09;Forward;1992;France
PAUL LACOMBE;1.98;Guard;1990;France
OLIVER LAFAYETTE;1.88;Guard;1984;United States of America
MATTEO LAGANA;1.91;Guard;2000;Italy
ANDREA LAGIOIA;;;1986;Italy
CHRISTOS LAKKAS;1.88;Guard;1991;Greece
JAKA LAKOVIC;;Guard;1978;Slovenia
JURE LALIC;2.09;Center;1986;Croatia
DAVIDE LAMMA;1.92;Guard;1976;Italy
BEN LAMMERS;2.08;Center;1995;United States of America
MACIEJ LAMPE;2.10;Center;1985;Poland
ERIK LAND;2.05;Center;1990;Germany
JOCK LANDALE;2.11;Center;1995;Australia
SYLVEN LANDESBERG;1.98;Guard;1990;Israel
JEAN-PAUL LANDU;;;1985;France
NICOLAS LANG;1.98;Guard;1990;France
TRAJAN LANGDON;1.92;Guard;1976;United States of America
KEITH LANGFORD;1.93;Guard;1983;United States of America
GERARDO  LANGIU;1.95;;1997;Italy
ADAM LAPETA;2.17;Center;1987;Poland
LUIDGY LAPORAL;2.00;;1995;France
NICOLAS LAPROVITTOLA;1.90;Guard;1990;Argentina
GIANNOULIS LARENTZAKIS;1.96;Guard;1993;Greece
SHANE LARKIN;1.82;Guard;1992;United States of America
JAY LARRANAGA;1.94;Guard;1975;United States of America
JON LARRANAGA;1.98;;1980;Ireland
STEPHANE LASME;2.03;Center;1982;Gabon
MARTIN LATTIBEAUDIERE;1.88;Guard;1975;United Kingdom
JOFFREY LAUVERGNE;2.11;Center;1991;France
FERRAN LAVINA;1.92;Guard;1977;Spain
DARJUS LAVRINOVIC;2.12;Center;1979;Lithuania
KSISTOF LAVRINOVIC;2.09;Center;1979;Lithuania
ACIE LAW;1.90;Guard;1985;United States of America
GANI LAWAL;2.05;Center;1988;United States of America
SHANE LAWAL;2.08;Center;1986;Nigeria
TY LAWSON;1.80;Guard;1987;United States of America
IVAN LAZAREV;2.10;Center;1991;Russian Federation
STEFAN LAZAREVIC;1.98;Guard;1996;Serbia
JESUS LAZARO CORRAL;1.81;Guard;1971;Spain
BRANKO LAZIC;1.95;Guard;1989;Serbia
ANDRIY LEBEDINTSEV;1.84;Guard;1991;Ukraine
KARLO LEBO;1.93;Guard;1990;Croatia
MAEL LEBRUN;1.98;Forward;1991;France
LUCA LECHTHALER;2.06;Center;1986;Italy
ZACH LEDAY;2.02;Center;1994;United States of America
RICKY LEDO;1.97;Guard;1992;United States of America
ARTHUR LEE;1.86;Guard;1977;United States of America
LUKAS LEKAVICIUS;1.80;Guard;1994;Lithuania
MARKO LEKIC;2.12;;1985;Serbia
JEREMY LELOUP;2.00;Forward;1987;France
CHRISTOPHE LEONARD;1.99;Forward;1990;France
ANDRIUS LEPINAITIS;1.84;;1981;Lithuania
EMILIEN LESCHIERA;1.60;;1985;France
SAVA LESIC;2.05;Forward;1988;Serbia
MATHIAS LESSORT;2.06;Center;1995;France
FEDERICO LESTINI;2.03;Forward;1983;Italy
ORR LEUMI;1.92;Guard;1996;Israel
MAARTEN LEUNEN;2.06;Forward;1985;United States of America
SASCHA LEUTLOFF;1.95;Forward;1982;Germany
OREL LEV;1.95;Guard;1993;Israel
NIMROD LEVI;2.08;Forward;1995;Israel
DANNY LEWIS;1.85;;1970;United States of America
DERRICK LEWIS;2.05;Forward;1966;United States of America
LARRY LEWIS;2.06;Forward;1969;United States of America
QUINCY LEWIS;2.01;Forward;1977;United States of America
AGOSTINO LI VECCHI;2.04;;1970;Italy
PANAGIOTIS LIADELIS;1.94;Guard;1974;Greece
GUILLAUME LIBANET;;;1986;France
ALESSANDRO LIBERALATO;;;1983;Italy
DAVID LIGHTY;1.95;Forward;1988;United States of America
VALERII LIKHODEI;2.04;Forward;1986;Russian Federation
AUGUSTO LIMA;2.08;Center;1991;Spain
GIORGIOS LIMNIATIS;1.92;Guard;1971;Greece
RAVIV LIMONAD;1.92;Guard;1984;Israel
JOHN LINEHAN;1.75;Guard;1978;United States of America
NATE LINHART;2.01;Forward;1986;United States of America
VYTENIS LIPKEVICIUS;1.95;Forward;1989;Lithuania
KEVIN LISCH;1.88;Guard;1986;United States of America
SERHIY LISHCHUK;2.10;Center;1982;Ukraine
PETER LISICKY;1.92;Guard;1976;Slovakia
JOFFRE LLEAL;1.95;Guard;1971;Spain
PEDRO LLOMPART;1.90;Guard;1982;Spain
TONIN LLORENTE;1.83;Guard;1963;Spain
NACHO LLOVET;2.02;;1991;Spain
SERGIO LLULL;1.90;Guard;1987;Spain
MAODO LO;1.91;Guard;1992;Germany
BLAZ LOBE;;;1984;Slovenia
CHRIS LOFTON;1.88;Guard;1986;United States of America
SERGEY LOGACHEV;2.06;Center;1987;Russian Federation
DAVID LOGAN;1.85;Guard;1982;United States of America
MATT LOJESKI;1.98;Forward;1985;United States of America
ALEXANDER LOKHMANCHUK;2.06;Forward;1973;Ukraine
QUADRE-MICHAEL LOLLIS;2.02;Forward;1973;United States of America
RIHARDS LOMAZS;1.87;Forward;1996;Latvia
KRESIMIR LONCAR;2.10;Center;1983;Croatia
MARKUS LONCAR;2.12;Center;1996;Croatia
NIKOLA LONCAR;;Guard;1972;Spain
ARTHUR LONG;;;1753;United States of America
BRANIMIR LONGIN;1.91;Guard;1978;Croatia
ANDREI LOPATIN;2.08;Forward;1998;Russian Federation
MIROSLAW LOPATKA;2.13;;1977;Poland
DANIEL LOPEZ;1.88;;1982;Spain
FERRAN LOPEZ;1.88;Guard;1971;Spain
JAVI LOPEZ;1.88;Guard;1999;Spain
JUAN JOSE LOPEZ;2.04;;1982;Spain
LAUTARO LOPEZ;1.81;Guard;1999;Argentina
RAI LOPEZ;1.83;Guard;1989;Spain
RAUL LOPEZ;1.82;Guard;1980;Spain
DOMEN LORBEK;1.98;Forward;1985;Slovenia
ERAZEM LORBEK;2.08;Center;1984;Slovenia
KLEMEN LORBEK;1.98;Guard;1988;Slovenia
MICHALIS LOUNTZIS;1.95;Guard;1998;Greece
FABIO LOVATTI;1.92;Guard;1989;Italy
JORDAN LOYD;1.93;Guard;1993;United States of America
LIOR LUBIN;1.92;Guard;1977;Israel
KALIN LUCAS;1.85;Guard;1989;United States of America
VLADIMIR LUCIC;2.04;Forward;1989;Serbia
VICTOR LUENGO;1.94;Forward;1974;Spain
RICHARD LUGO;2.09;Center;1973;Venezuela
MINDAUGAS LUKAUSKIS;1.98;Guard;1979;Lithuania
KAROLIS LUKOSIUNAS;1.95;Forward;1997;Lithuania
DRAGAN LUKOVSKI;1.81;Guard;1975;Serbia
JORG LUTCKE;2.01;Forward;1975;Germany
NIKLAS LUTCKE;1.99;Forward;1974;Germany
ANTHONY LUX;2.04;Center;1977;United States of America
RAFA LUZ;1.88;Guard;1992;Spain
TERRELL LYDAY;1.91;Guard;1979;United States of America
TAUTVYDAS LYDEKA;2.08;Center;1983;Lithuania
GEDIMINAS MACEINA;1.88;;1984;Lithuania
MARCELINHO MACHADO;2.00;Guard;1975;Brazil
ARVYDAS MACIJAUSKAS;1.93;Forward;1980;Lithuania
JONAS MACIULIS;1.98;Forward;1985;Lithuania
SHELVIN MACK;1.91;Guard;1990;United States of America
MILAN MACVAN;2.05;Center;1989;Serbia
ALEXANDER MADSEN;2.08;Forward;1995;Finland
MATTEO MAFFEZZOLI;1.78;Guard;1991;Italy
JOSH MAGETTE;1.85;Guard;1989;United States of America
MICHELE MAGGIOLI;2.12;Center;1977;Italy
SPYRIDON MAGKOUNIS;2.00;Guard;1985;Greece
DANIELE MAGRO;2.08;Center;1987;Italy
RASID MAHALBASIC;2.11;Center;1990;Austria
IAN MAHINMI;2.06;Forward;1986;France
MELIH MAHMUTOGLU;1.91;Guard;1990;Turkey
LEO MAINOLDI;2.03;Forward;1985;Argentina
GERRIT MAJOR;1.88;Guard;1980;Belgium
MILAN MAJSTOROVIC;2.07;Forward;1983;Serbia
ALAN MAKIEV;2.10;Center;1991;Russian Federation
STANISLAV MAKSHANTSEV;;;1978;Russian Federation
MATTEO MALAVENTURA;1.96;Guard;1978;Italy
THEO MALEDON;1.92;Guard;2001;France
GREGA MALI;;;1984;Slovenia
DEMOND MALLET;1.86;Guard;1978;United States of America
RINALDS MALMANIS;2.05;Center;1996;Latvia
MARIO MALOCA;2.04;;1971;Croatia
ANDREI MALTSEV;;Forward;1966;Russian Federation
MATEJ MAMIC;2.03;Forward;1975;Croatia
NUNO MANARTE;1.84;Guard;1975;Portugal
MARIJAN MANCE;1.97;Guard;1978;Croatia
STEFANO MANCINELLI;2.03;Forward;1983;Italy
RICHARD MANDEVILLE;2.10;Center;1974;Croatia
JOVAN MANOVIC;1.83;Guard;1977;Croatia
EMMANUEL MANPUYA;2.00;Forward;1979;Belgium
PANAGIOTIS MANTZANAS;1.98;;1980;Greece
VANGELIS MANTZARIS;1.94;Guard;1990;Greece
PARIS MARAGKOS;2.06;Center;1994;Greece
CHRISTIAN MARAKER;2.06;Forward;1982;Sweden
ROBERT MARAS;2.15;Center;1978;Germany
MARKO MARAVIC;;Forward;1979;Slovenia
GIANCARLO MARCACCINI;1.96;Forward;1972;Italy
DAVOR MARCELIC;2.00;Forward;1969;Croatia
GIANLUCA MARCHETTI;1.78;Guard;1993;Italy
KESTUTIS MARCIULONIS;1.88;Guard;1976;Lithuania
DENIS MARCONATO;2.14;Center;1975;Italy
JUANI MARCOS;1.85;Guard;2000;Argentina
DAVIDE MARELLI;1.95;Guard;1991;Italy
SANDRO MARELLI;1.95;Guard;1991;Italy
ALEKS MARIC;2.11;Center;1984;Serbia
IVICA MARIC;1.82;Guard;1967;Croatia
MAURICIO MARIN;1.93;Guard;1994;Germany
DAVID MARINA;2.02;;1988;Spain
VANJA MARINKOVIC;1.98;Guard;1997;Serbia
TOMMASO MARINO;1.90;;1986;Italy
BOBAN MARJANOVIC;2.21;Center;1988;Serbia
MANUCHAR MARKOISHVILI;1.97;Forward;1986;Georgia
DAMIR MARKOTA;2.08;Forward;1985;Croatia
MILOS MARKOVIC;2.01;Forward;1984;Serbia
NENAD MARKOVIC;1.96;Guard;1968;Bosnia and Herzegovina
STEFAN MARKOVIC;1.98;Guard;1988;Serbia
DIMITRIOS MARMARINOS;2.03;Forward;1976;Greece
LUKA MAROLT;;;1985;Slovenia
CLAUDE MARQUIS;2.04;Forward;1980;France
MATT MARSH;2.11;Center;2002;United Kingdom
RAWLE MARSHALL;2.01;Forward;1982;United States of America
ALBERTO MARTIN;1.84;Guard;1995;Spain
ALBERTO MARTIN;1.84;Guard;1995;Spain
HASSAN MARTIN;2.01;Center;1995;United States of America
JAN MARTIN;2.02;;1984;Spain
JOSE IGNACIO MARTIN;;;1983;Spain
CARLOS MARTINEZ;1.96;Forward;1996;Spain
FERRAN MARTINEZ;2.12;Center;1968;Spain
GONZALO MARTINEZ;1.78;Guard;1974;Spain
IVAN MARTINEZ;1.92;Forward;1990;Spain
RAFA MARTINEZ;1.90;Guard;1982;Spain
SERGI MARTINEZ;2.02;Forward;1999;Spain
NICCOLO MARTINONI;2.01;Forward;1989;Italy
CARLES MARZO;1.90;Guard;1992;Spain
GEOFFREY MASCI;;;1985;France
KARAM MASHOUR;1.98;Forward;1991;Israel
ANTE MASIC;1.98;Forward;1985;Croatia
ARTURAS MASIULIS;2.10;Center;1980;Lithuania
GYTIS MASIULIS;2.06;Forward;1998;Lithuania
TOMAS MASIULIS;;Forward;1975;Lithuania
DARIUS MASKOLIUNAS;;Guard;1971;Lithuania
GEORGIOS MASLARINOS;;;1974;Greece
MAKAI MASON;1.85;Guard;1995;United States of America
ROGER MASON;1.96;Guard;1980;United States of America
JEREMIAH MASSEY;2.02;Forward;1982;United States of America
PREDRAG MATERIC;1.98;Forward;1977;Serbia
JUKKA MATINEN;2.02;Forward;1978;Finland
ANESTIS MATOS;2.00;Forward;1987;Greece
NEMANJA MATOVIC;2.10;;1983;Serbia
LEE MATTHEWS;2.02;Forward;1970;United States of America
JONAS MATTISSECK;1.94;Guard;2000;Germany
ROLANDAS MATULIS;2.00;Forward;1973;Lithuania
ALEXANDRE MAUBAYOU;2.00;;1982;France
DOMINIK MAVRA;1.94;Guard;1994;Croatia
DIMITRIOS MAVROEIDIS;2.08;Center;1985;Greece
LOUKAS MAVROKEFALIDIS;2.10;Center;1984;Greece
SEAN  MAY;2.06;Center;1984;United States of America
DANIEL MAYR;2.16;Center;1995;Germany
LOVRO MAZALIN;2.03;Forward;1997;Croatia
MARTYNAS MAZEIKA;1.91;Guard;1985;Lithuania
NICOLAS MAZZARINO;1.81;Guard;1975;Italy
TREVOR MBAKWE;2.03;Center;1989;Nigeria
AMATH M'BAYE;2.06;Forward;1989;France
PAPA MBAYE;2.09;;1990;Senegal
PATRICE M'BIANDA;1.87;;1983;France
CHEIKH MBODJ;2.08;Center;1987;Senegal
CURTIS MC CANTS;1.88;Guard;1975;United States of America
THALAMUS Mc GHEE;2.06;Center;1975;United States of America
KEITH MC LEOD;1.88;Guard;1979;United States of America
BO MCCALEBB;1.82;Guard;1985;United States of America
RAY MCCALLUM;1.90;Guard;1991;United States of America
KELLY McCARTY;2.01;Forward;1975;Russian Federation
AMAL MCCASKILL;;;1973;United States of America
ERRICK MCCOLLUM;1.88;Guard;1988;United States of America
 JOHN McCORD;2.01;Forward;1973;United Kingdom
TYRON McCOY;1.95;Guard;1972;United States of America
JERRY McCULLOUGH;1.79;Guard;1973;United States of America
LASHUN MCDANIELS;1.84;;1966;Italy
ARRIEL McDONALD;1.89;Guard;1972;Slovenia
WILL MCDONALD;2.07;Forward;1979;United States of America
WILLIAM MCDOWELL-WHITE;1.95;Guard;1998;Australia
DIMITRY MCDUFFIE;1.98;Forward;1989;Germany
IMMANUEL McELROY;1.94;Guard;1980;United States of America
DONNIE McGRATH;1.93;Guard;1984;United States of America
TERRELL MCINTYRE;1.75;Guard;1977;United States of America
SHAQUIELLE MCKISSIC;1.96;Guard;1990;United States of America
JAMEL MCLEAN;2.02;Center;1988;United States of America
DARREN MCLINTON;1.84;Guard;1974;United States of America
JERRY McNAMARA;1.86;Guard;1983;United States of America
JOSEPH MCNAULL;;;1972;Poland
JEREL McNEAL;1.91;Guard;1987;United States of America
JORDAN MCRAE;1.98;Forward;1991;United States of America
GEORGE MDIVANI;;;1985;Georgia
TRENTON MEACHAM;1.90;Guard;1985;United States of America
ERIK MEEK;2.10;Forward;1973;United States of America
ALEKSANDR MEIMARIDIS;1.93;;1975;Greece
SAMMY MEJIA;1.99;Guard;1983;United States of America
SALAH MEJRI;2.17;Center;1986;Tunisia
GAL MEKEL;1.92;Guard;1988;Poland
NICOLO MELLI;2.05;Forward;1991;Italy
ALEKSANDRS MELNIKS;2.15;;1987;Latvia
RAUL MENA;1.76;;1982;Spain
BOB MENAMA;1.98;Forward;1980;Belgium
LAURENT MENDEZ;;;1986;France
ELSON MENDY;1.99;Forward;1985;Senegal
ANDREA MENEGHIN;2.00;Guard;1974;Italy
WILLIAM MENSAH;1.75;Guard;1995;France
POPS MENSAH-BONSU;2.06;Forward;1983;United Kingdom
JACOPO MERCANTE;1.92;Guard;1990;Italy
STEFANO MERCANTE;1.86;;1987;Italy
ANDREA MERLATI;1.98;Forward;1995;Italy
MARCO MERONI;2.02;Forward;1993;Italy
JOSEP MESTRES;2.08;;1985;Spain
NIKA METREVELI;2.11;Forward;1991;Georgia
DALIBOR MEZULIC;;;1753;
MARKO MICEVIC;1.98;Guard;1989;Serbia
ANDREA MICHELORI;2.02;Forward;1978;Italy
DJORDJE MICIC;2.01;Forward;1993;Serbia
VASILIJE MICIC;1.96;Guard;1994;Serbia
PETE MICKEAL;1.97;Forward;1978;United States of America
JORDAN MICKEY;2.03;Center;1994;United States of America
VLADIMIR MICOV;2.01;Forward;1985;Serbia
DARRYL MIDDLETON;;Forward;1966;Spain
LARRY MIDDLETON;1.90;Guard;1965;United States of America
RAIMONDS MIGLIENIKS;1.90;Guard;1970;Latvia
MARTIN MIHAJLOVIC;2.09;Center;1981;Slovenia
JERNEJ MIHALIC;;;1985;Slovenia
MIKHAIL MIKHAILOV;2.05;Center;1971;Russian Federation
ARTURAS MILAKNIS;1.95;Guard;1986;Lithuania
AARON MILES;1.85;Guard;1983;United States of America
MARKO MILIC;1.99;Forward;1977;Slovenia
IGOR MILICIC;1.94;Guard;1976;Poland
BRANKO MILISAVLJEVIC;;Guard;1976;Serbia
NENAD MILJENOVIC;1.94;Guard;1993;Serbia
CURTIS MILLAGE;1.85;Guard;1981;United States of America
DANIEL MILLER;2.03;Forward;1980;Italy
DARIUS MILLER;2.03;Forward;1990;United States of America
KENNETH MILLER;;;1753;Spain
MARK MILLER;1.87;Guard;1975;United States of America
QUINCY MILLER;2.06;Forward;1992;United States of America
KYLE MILLING;;Center;1974;France
ABDUL MILLS;1.90;Guard;1979;United States of America
DEJAN MILOJEVIC;2.01;Forward;1977;Serbia
DRAGAN MILOSAVLJEVIC;1.98;Guard;1989;Serbia
IGOR MILOSEVIC;1.92;Guard;1986;Serbia
STEVAN MILOSEVIC;2.11;Center;1985;Montenegro
STRAHINJA MILOSEVIC;2.03;Forward;1985;Serbia
ALEKSANDER MILOSSERDOV;1.98;Guard;1980;Russian Federation
NIKOLA MILUTINOV;2.13;Center;1994;Serbia
RICKY MINARD;1.96;Guard;1982;United States of America
YORDAN MINCHEV;2.02;Forward;1998;Bulgaria
ALBERT MIRALLES;2.07;Center;1982;Spain
MILOS MIRKOVIC;2.06;Center;1983;Serbia
NIKOLA MIROTIC;2.08;Forward;1991;Spain
DIMITRIOS MISIAKOS;2.02;Forward;1982;Greece
ANDRES MISO;1.96;Guard;1983;Spain
AARON MITCHELL;1.88;Guard;1969;Austria
DARREL MITCHELL;1.81;Guard;1984;United States of America
KONSTANTINOS MITOGLOU;2.10;Forward;1996;Greece
IOANNIS MITROPOULOS;1.94;Forward;1983;Greece
ALEKSANDAR MITROVIC;2.01;Forward;1990;Serbia
LUKA MITROVIC;2.06;Forward;1993;Serbia
JAN MOCNIK;1.78;Guard;1987;Slovenia
STIPE MODRIC;2.04;Forward;1979;Slovenia
ADRIEN MOERMAN;2.02;Forward;1988;France
JEROME MOISO;2.08;Center;1978;France
VLAD MOLDOVEANU;2.06;Forward;1988;Romania
MIGUEL MOLINA;1.94;Guard;1989;Spain
DIEGO MONALDI;1.85;Guard;1993;Italy
ALBERT MONCASI;2.10;Forward;1986;Spain
SERGEY MONIA;2.02;Forward;1983;Russian Federation
GREG MONROE;2.11;Center;1990;United States of America
STEVEN MONSE;1.98;Forward;1990;Germany
ALEJANDRO MONTECCHIA;1.82;Guard;1972;Italy
CESARE MONZARDO;1.90;Guard;1989;Italy
JAMARIO MOON;2.03;Forward;1980;United States of America
BRUNO MORABITO;1.82;;1984;Italy
JUANAN MORALES;2.11;Center;1969;Spain
MICHEL MORANDAIS;1.95;Forward;1979;France
RICCARDO MORASCHINI;1.94;Guard;1991;Italy
YANNICK MORAY;1.96;Forward;1991;Belgium
MARCO MORDENTE;1.92;Guard;1979;Italy
DOMENICO MORENA;2.08;Center;1970;Italy
DAVIDE MORETTI;1.89;Guard;1998;Italy
NIKITA MORGUNOV;2.11;Forward;1975;Russian Federation
GEZIM MORINA;2.03;Center;1992;Slovenia
PACCELIS MORLENDE;1.88;Guard;1981;France
ZACH MORLEY;2.03;Forward;1983;United States of America
VEDRAN MOROVIC;1.83;Guard;1983;Croatia
TERENCE MORRIS;2.07;Forward;1979;United States of America
MILTIADIS MOSCHOU;2.07;;1977;Greece
DAVID MOSS;1.96;Forward;1983;United States of America
DONATAS MOTIEJUNAS;2.13;Center;1990;Lithuania
HANNO MOTTOLA;2.08;Forward;1976;Finland
BROCK MOTUM;2.08;Center;1990;Australia
VASSILIS MOURATOS;1.93;Guard;1997;Greece
TIMOFEY MOZGOV;2.16;Center;1986;Russian Federation
HAROLD MRAZEK;1.91;Guard;1973;Switzerland
PAWEL MROZ;2.14;;1984;Poland
DAMIR MRSIC;1.91;Guard;1970;Bosnia and Herzegovina
VELJKO MRSIC;2.03;Forward;1971;Croatia
MOSES MUBARAK;;;1986;United Kingdom
SASA MUCIC;2.02;;1983;Slovenia
ALI MUHAMMED;1.78;Guard;1983;United States of America
HARIS MUJEZINOVIC;2.05;Forward;1974;Bosnia and Herzegovina
MIRKO MULALIC;1.95;Guard;1988;Slovenia
DAMIR MULAOMEROVIC;1.95;Guard;1974;Croatia
MALIK MULLER;1.90;Guard;1994;Germany
ALEX MUMBRU;2.02;Forward;1979;Spain
XAVIER MUNFORD;1.93;Guard;1992;United States of America
DANIEL MUNOZ;;;1987;Spain
JAVIER MUNOZ;;;1982;Spain
LUIS MUNOZ;1.83;Guard;1979;Spain
GABE MUONEKE;2.00;Forward;1978;United States of America
ERIC MURDOCK;1.85;Guard;1968;United States of America
DINO MURIC;2.00;Forward;1990;Slovenia
EDO MURIC;2.01;Forward;1991;Slovenia
KEVIN MURPHY;1.98;Guard;1990;United States of America
FLIP MURRAY;1.91;Guard;1979;United States of America
TRACY MURRAY;;;1971;United States of America
DZANAN MUSA;2.03;Guard;1999;Bosnia and Herzegovina
KOSTJA MUSHIDI;1.95;Guard;1998;Germany
DEJAN MUSLI;2.13;Center;1991;Serbia
MUHAYMIN MUSTAFA;1.96;Guard;1999;Turkey
MAXIM MUTAF;1.93;Guard;1991;Turkey
MARTIN MUURSEPP;2.08;Forward;1974;Estonia
CARLTON MYERS;1.92;Guard;1971;Italy
TERRELL MYERS;1.86;Guard;1974;United States of America
JANUSZ MYSLOWIECKI;;;1984;Poland
BOSTJAN NACHBAR;2.06;Forward;1980;Slovenia
RAIDAS NACIUS;1.96;Guard;1991;Lithuania
SAMUEL NADEAU;2.00;;1982;France
ALEKSANDAR NADJFEJI;2.03;Forward;1976;Serbia
STEVAN NADJFEJI;2.02;Forward;1979;Serbia
MIKEL NAHAR;2.11;Center;1971;Netherlands
YUVAL NAIMY;1.88;Guard;1985;Israel
MARIO NAKIC;2.02;Forward;2001;Croatia
CEMAL NALGA;2.08;Forward;1987;Turkey
GIOVANNI NAPODANO;;;1991;Italy
MIKE NARDI;1.86;Guard;1985;United States of America
INAKI NARROS;1.93;;1981;Spain
STEFAN NASTIC;2.11;Center;1992;Serbia
PETAR NAUMOSKI;1.94;Guard;1968;Italy
ALEJANDRO NAVAJAS;;;1986;Spain
DAVID NAVARRO;1.90;Guard;1983;Spain
JUAN CARLOS NAVARRO;1.92;Guard;1980;Spain
JUANLU NAVARRO;1.95;Forward;1991;Spain
GEDIMINAS NAVICKAS;;Guard;1984;Lithuania
MAMADOU N'DIAYE;2.12;Center;1975;Senegal
SAMBA NDIAYE;2.02;;1998;Senegal
ELWIN NDJOCK;1.93;Forward;2001;France
BONIFACE NDONG;2.13;Center;1977;Senegal
MAURICE NDOUR;2.06;Forward;1992;Senegal
MALEYE NDOYE;2.03;Forward;1980;Senegal
GARY NEAL;1.93;Guard;1984;United States of America
NEMANJA NEDOVIC;1.92;Guard;1991;Serbia
TIM NEES;2.09;Center;1971;Germany
DEMARCUS NELSON;1.93;Guard;1985;United States of America
LUKE NELSON;1.90;Guard;1995;United Kingdom
REEVES NELSON;2.03;Forward;1991;United States of America
SPENCER NELSON;2.03;Forward;1980;United States of America
ISTVAN NEMETH;1.92;Guard;1979;Hungary
NEMANJA NENADIC;1.97;Forward;1994;Serbia
OLEKSANDR NERUSH;1.87;Guard;1983;Ukraine
ALEKSEJ NESOVIC;1.89;Guard;1985;Serbia
RASHO NESTEROVIC;2.12;Center;1976;Slovenia
PHILIPP NEUMANN;2.09;Center;1992;Germany
BRAD NEWLEY;2.00;Forward;1985;Australia
JOEY NEY;1.97;Guard;1992;Germany
MAODO NGUIRANE;2.10;Center;1993;Senegal
BABACAR NIANG;2.08;Forward;1991;France
SANDRO NICEVIC;2.10;Center;1976;Croatia
DREW NICHOLAS;1.93;Guard;1981;United States of America
AUSTIN NICHOLS;1.98;Forward;1982;United States of America
DEMETRIS NICHOLS;2.03;Forward;1984;United States of America
MARCELO NICOLA;2.07;Forward;1971;Spain
MATT NIELSEN;2.08;Forward;1978;Australia
MISAN NIKAGBATSE;1.93;Guard;1982;Germany
KRESIMIR NIKIC;2.13;Center;1999;Croatia
ALEXANDROS NIKOLAIDIS;1.90;Guard;2002;Greece
SOTIRIOS NIKOLAIDIS;1.85;Guard;1974;Greece
ALEKSEJ NIKOLIC;1.91;Guard;1995;Slovenia
DANILO NIKOLIC;2.06;Center;1993;Montenegro
GORAN NIKOLIC;2.05;Forward;1976;Serbia
UROS NIKOLIC;2.06;Center;1987;Serbia
ZORAN NIKOLIC;2.12;Center;1996;Montenegro
KRISTIJAN NIKOLOV;1.88;Guard;1996;Turkey
JONATAN NIR;2.03;;1986;Israel
ACHA NJEI;1.90;Guard;1985;Germany
SAIDOU NJOYA;1.86;Guard;1989;Cameroon
JAMES NNAJI;2.08;Center;2004;Nigeria
LANDRY NNOKO;2.08;Center;1994;Cameroon
MATTEO NOBILE;;;1753;
MATIAS NOCEDAL;1.94;Guard;1990;Spain
ANDRES NOCIONI;2.03;Forward;1979;Italy
NORMAN NOLAN;2.02;Forward;1976;United States of America
JEFF NORDGAARD;2.00;Forward;1973;Poland
HENK NOREL;2.10;Forward;1987;Netherlands
AMINE NOUA;2.02;Center;1997;France
ERNEST NOVAK;;;1977;Slovenia
MICHELE NOVI;2.06;Forward;1988;Italy
VALENTIN NOVIKOV;1.96;Guard;1989;Russian Federation
TOMASZ NOWAKOWSKI;2.09;Forward;1991;Poland
FRANK NTILIKINA;1.88;Guard;1998;France
JUAN NUNEZ;1.92;Guard;2004;Spain
ROBERTO NUNEZ;1.90;;1978;Spain
JAMES NUNNALLY;2.01;Forward;1990;United States of America
JUSUF NURKIC;2.12;Center;1994;Bosnia and Herzegovina
KAI NURNBERGER;1.83;Guard;1966;Germany
JULIUS NWOSU;2.03;Forward;1971;Nigeria
JEREMY NZEULIE;1.88;Guard;1991;France
FABRICIO OBERTO;2.07;Center;1975;Italy
SASA OBRADOVIC;;Guard;1969;Serbia
JOHNNY O'BRYANT;2.04;Forward;1993;United States of America
ANDREAS OBST;1.91;Guard;1996;Germany
MARVIN O'CONNOR;1.91;Guard;1978;United States of America
VLADISLAV ODINOKOV;2.02;Forward;2000;Russian Federation
LAMAR ODOM;2.08;Forward;1979;United States of America
INYANG IME ODUOK;2.02;Forward;1971;Nigeria
IKE OFOEGBU;2.05;Center;1984;United States of America
KENNETH OGBE;1.98;Guard;1994;Germany
ANDREW JAMES OGILVY;2.11;Forward;1988;Australia
MARVIN OGUNSIPE;2.04;Forward;1996;Austria
YOGEV OHAYON;1.89;Guard;1987;Israel
TIM OHLBRECHT;2.10;Center;1988;Germany
MICHAEL OJO;2.16;Center;1993;Nigeria
AYDIN OKCU;;;1991;Turkey
VINY OKOUO;2.14;Center;1997;Congo
ADEMOLA OKULAJA;2.06;Forward;1975;Germany
ALEKSANDAR OKUNSKYY;2.14;Center;1971;Ukraine
MEHMET OKUR;2.11;Forward;1979;Turkey
