player;height;position;year_born;nationality
RODERICK BLAKNEY;1.86;Guard;1976;United States of America
JULIEN BLANCHOT;;;1985;France
JORGE BLANCO;1.95;;1993;Spain
SAUL BLANCO;1.94;Guard;1985;Spain
JEREL BLASSINGAME;1.75;Guard;1981;United States of America
OZ BLAYZER;2.00;Forward;1992;Israel
MAREK BLAZEVIC;2.09;Center;2001;Lithuania
JAKA BLAZIC;1.96;Forward;1990;Slovenia
BRETT BLIZZARD;1.91;Guard;1980;Italy
DAVID BLU;2.01;Forward;1980;Israel
JANIS BLUMS;1.90;Guard;1982;Latvia
DUSAN BOCEVSKI;2.08;Center;1973;North Macedonia
ELEFTHERIOS BOCHORIDIS;1.96;Guard;1994;Greece
DEJAN BODIROGA;2.05;Forward;1973;Serbia
NEBOJSA BOGAVAC;1.98;Guard;1973;Montenegro
BOGDAN BOGDANOVIC;1.97;Guard;1992;Serbia
BOJAN BOGDANOVIC;2.00;Forward;1989;Croatia
LUKA BOGDANOVIC;2.04;Forward;1985;Serbia
GEORGIOS BOGRIS;2.10;Center;1989;Greece
JAKUB BOGUSZ;1.84;;1987;Poland
RUSLAN BOIDAKOV;2.02;Forward;1974;Russian Federation
VLADIMER BOISA;2.05;Forward;1981;Georgia
BOGDAN BOJIC;1.93;Guard;1999;Montenegro
GEORGES BOKANGA;1.98;;1982;Belgium
YANNICK BOKOLO;1.89;Guard;1985;France
GIACOMO BOLCATO;2.02;;1985;Italy
JONAH BOLDEN;2.08;Forward;1996;United States of America
LEANDRO BOLMARO;1.98;Guard;2000;Italy
JOEL BOLOMBOY;2.04;Forward;1994;Russian Federation
FEDERICO BOLZONELLA;1.84;Guard;1984;Italy
YANN BONATO;2.02;Forward;1972;France
GAEL BONILLA;2.02;Forward;2003;Mexico
DAVIDE BONORA;1.86;Guard;1973;Italy
CHRIS BOOKER;2.08;Center;1981;United States of America
DEVIN BOOKER;2.05;Center;1991;United States of America
MELVIN BOOKER;1.85;Guard;1972;United States of America
JOSH BOONE;2.08;Forward;1984;United States of America
CURTIS BORCHARDT;2.12;Center;1980;United States of America
DANIEL BORDIGNON;2.03;Center;1996;Italy
DEJAN BOROVNJAK;2.09;Center;1986;Serbia
STEFANO BORSATO;;;1753;
GIORGIO BOSCAGIN;1.97;Forward;1983;Italy
MARIJO BOSNJAK;;;1975;Croatia
DEE BOST;1.88;Guard;1989;Bulgaria
CARMEL BOUCHMAN;2.05;Forward;1991;Israel
RUBEN BOUMTJE BOUMTJE;2.12;Center;1978;Cameroon
NOBEL BOUNGOU-COLO;2.02;Forward;1988;France
NIKOLAOS BOUNTOURIS;1.93;Guard;1971;Greece
IOANNIS BOUROUSIS;2.15;Center;1983;Greece
AXEL BOUTEILLE;2.01;;1995;France
ALI BOUZIANE;1.92;Guard;1977;France
JAMES CALLOWAY BOWDLER;2.08;Forward;1977;Ireland
ANTHONY BOWIE;1.98;Forward;1963;United States of America
CALVIN BOWMAN;2.06;Forward;1977;United States of America
PETAR BOZIC;1.97;Guard;1978;Serbia
SLOBODAN BOZOVIC;2.07;Center;1979;Serbia
CRAIG BRACKINS;2.08;Forward;1987;United States of America
MICHAEL BRADLEY;2.08;Center;1979;United States of America
MARK BRADTKE;;;1753;
MICHAEL BRAMOS;1.96;Guard;1987;United States of America
JOHNNY EDWARD BRANCH;1.84;Guard;1968;Portugal
CESAR BRAVO;2.00;;1981;Spain
TJ BRAY;1.96;Guard;1992;United States of America
LUKAS BRAZDAUSKIS;2.03;Forward;1988;Lithuania
TYRONE BRAZELTON;1.83;Guard;1986;United States of America
JR BREMER;1.87;Guard;1980;United States of America
LORENZ BRENNEKE;2.04;Forward;2000;Germany
JAMES LORENZO BREWER;1.90;Guard;1969;United States of America
PRIMOZ BREZEC;2.16;Center;1979;Slovenia
MARK BRISKER;1.95;Guard;1969;United States of America
BOJAN BRKIC;2.00;Forward;1976;Croatia
DAVID BRKIC;2.08;Forward;1982;Italy
HARIS  BRKIC;1.98;Guard;1974;Serbia
TONI BRNAS;2.01;Forward;1991;Croatia
RYAN BROEKHOFF;1.97;Forward;1990;Australia
JEFF BROOKS;2.03;Forward;1989;United States of America
MARSHON  BROOKS;1.96;Guard;1989;United States of America
BOBBY BROWN;1.88;Guard;1984;United States of America
DEE BROWN;1.85;Guard;1984;United States of America
DENHAM BROWN;1.98;Guard;1983;Canada
DERRICK BROWN;2.03;Forward;1987;United States of America
DEVIN BROWN;1.96;Guard;1978;United States of America
ELTON BROWN;2.06;Forward;1983;United States of America
ERNEST BROWN;;;1979;United States of America
GERALD BROWN;1.91;Guard;1975;United States of America
JOHN BROWN;2.05;Forward;1974;United States of America
LENNY BROWN;1.88;Guard;1975;United States of America
LORENZO BROWN;1.96;Guard;1990;United States of America
MARCUS BROWN;1.91;Guard;1974;United States of America
MARKEL BROWN;1.91;Guard;1992;United States of America
RION BROWN;1.97;Forward;1991;United States of America
TIERRE BROWN;1.88;;1979;United States of America
DWAYNE BROYLES;1.96;Forward;1982;United States of America
JOHN BRUGOS;2.05;Forward;1967;Greece
MATTEO BRUNAMONTI;;;1753;
GREG BRUNNER;2.01;Center;1983;United States of America
ALESSANDRO BRUNO;2.06;;1984;Italy
DAVIDE BRUTTINI;2.03;Forward;1987;Italy
ELIJAH BRYANT;1.96;Guard;1995;United States of America
JOHN BRYANT;2.11;Center;1987;United States of America
DRAZEN BUBNIC;2.07;Forward;1986;Slovenia
LORENZO BUCARELLI;1.93;;1998;Italy
STEVE BUCKNALL;1.98;Forward;1966;United Kingdom
CHASE BUDINGER;2.01;Forward;1988;United States of America
MINDAUGAS BUDZINAUSKAS;1.98;Forward;1973;Lithuania
ANTONIO BUENO;2.09;Center;1980;Spain
JAVIER BUESA;1.95;Forward;1978;Spain
MARTIN BUESA;2.02;Forward;1988;Spain
RODNEY BUFORD;1.95;Forward;1977;United States of America
EVREN BUKER;1.94;Guard;1985;Turkey
NIKOLA BULAJIC;2.07;Forward;1984;Serbia
MARKO BULIC;1.94;Forward;1974;Croatia
MARCO BULJEVIC;1.96;Guard;1987;Germany
MASSIMO BULLERI;1.88;Guard;1977;Italy
LOUIS BULLOCK;1.85;Guard;1976;United States of America
PAT BURKE;2.08;Center;1973;Ireland
ERIC BURKS;1.90;Guard;1972;United Kingdom
CHRISTIAN BURNS;2.03;Forward;1985;Italy
RONNIE BURRELL;2.04;Forward;1983;United States of America
TAL BURSTEIN;1.98;Guard;1980;Israel
WILLIE BURTON;2.03;Forward;1968;United States of America
SANDIS BUSKEVICS;1.90;Guard;1977;Latvia
SIMAS BUTERLEVICIUS;2.00;Forward;1989;Lithuania
ARNAS BUTKEVICIUS;1.97;Guard;1992;Lithuania
POVILAS BUTKEVICIUS;2.03;Forward;1987;Lithuania
GREG BUTLER;2.10;;1966;United States of America
IVAN BUVA;2.08;Forward;1991;Croatia
DWIGHT BUYCKS;1.91;Guard;1989;United States of America
DERRICK BYARS;2.01;Forward;1984;United States of America
SERGEY BYKOV;1.90;Guard;1983;Russian Federation
WILL BYNUM;1.83;Guard;1983;United States of America
CHARLES BYRD;1.85;Guard;1966;United States of America
ZARKO CABARKAPA;2.11;Forward;1981;Serbia
CARLOS CABEZAS;1.86;Guard;1980;Spain
GIACOMO CACACE;1.93;Guard;1993;Italy
MICHAEL CAICEDO;1.99;Guard;2003;Spain
MARKO CAKAREVIC;2.01;Forward;1988;Serbia
GORAN CAKIC;2.07;Forward;1980;Serbia
DANTE CALABRIA;;Forward;1973;Italy
NICK CALATHES;1.96;Guard;1989;Greece
PAT CALATHES;2.08;Forward;1985;Greece
UNAI CALBARRO;2.05;Forward;1989;Spain
JOSE  CALDERON;1.90;Guard;1981;Spain
EARL CALLOWAY;1.90;Guard;1983;United States of America
ANGELO CALOIARO;2.03;Forward;1989;United States of America
OUSMANE CAMARA;2.02;Forward;1989;France
ANDREA CAMATA;2.13;Center;1973;Italy
FACUNDO CAMPAZZO;1.81;Guard;1991;Argentina
ERIC CAMPBELL;1.94;Forward;1977;United States of America
LOUIS CAMPBELL;1.91;Guard;1979;United States of America
MARCUS CAMPBELL;2.01;;1969;
NENAD CANAK;;Forward;1976;Serbia
BERKAY CANDAN;2.05;Forward;1993;Turkey
FULVIO CANDIDO;2.08;;1983;Italy
JEAN CARLOS CANELO;1.85;Guard;1989;Dominican Republic
NIK CANER-MEDLEY;2.03;Forward;1983;United States of America
DUSAN CANTEKIN;2.19;Center;1992;Turkey
CLINT CAPELA;2.08;Forward;1994;Switzerland
ALEKSANDAR CAPIN;1.86;Guard;1982;Slovenia
ALESSANDRO CAPPELLETTI;1.82;;1995;Italy
MARKO CAR;1.88;Guard;1985;Croatia
PAOLO CARBONI;1.95;;1996;Italy
MIGUEL CARDOSO;1.88;Guard;1993;Portugal
STEPHAN CARDUCK;1.98;Guard;1986;Germany
FLAVIO CARERA;;;1753;
PEP CARGOL;2.04;Forward;1968;Spain
CHRISTOPHER CARR;2.03;Guard;1974;United States of America
JESUS CARRALERO;1.99;Guard;2000;Spain
MARCO CARRARETTO;1.96;Guard;1977;Italy
CHRIS CARRAWELL;1.98;Forward;1977;United States of America
JAYCEE CARROLL;1.88;Guard;1983;United States of America
JOSH CARTER;2.00;Forward;1986;United States of America
JUSTIN CARTER;1.93;Forward;1987;United States of America
MAURICE CARTER;1.97;Forward;1976;United States of America
PERRY CARTER;2.04;Forward;1967;Spain
GIULIO CASALE;1.85;Guard;1990;Italy
ANDREA CASELLA;1.96;Forward;1990;Italy
JOHWE CASSEUS;2.11;Center;1989;France
OMRI CASSPI;2.05;Forward;1988;Israel
TERREL CASTLE;1.82;Guard;1972;Bosnia and Herzegovina
FABIEN CAUSEUR;1.95;Forward;1987;France
DANIELE CAVALIERO;1.88;Guard;1984;Italy
CARMINE CAVALLARO;1.92;;1986;Italy
TYLER CAVANAUGH;2.06;Forward;1994;United States of America
LAURENT CAZALON;1.93;Guard;1979;France
SANDI CEBULAR;1.95;Guard;1986;Slovenia
MICHAL CEKOVSKY;2.06;Forward;1994;Slovakia
AARON CEL;2.05;Forward;1987;France
JOHN CELESTAND;1.93;Guard;1977;United States of America
SIMONE CENTANNI;1.85;Guard;1991;Italy
ROKAS CEPANONIS;2.04;Center;1989;Lithuania
DRAGAN CERANIC;2.11;;1976;Serbia
BRUNO CERELLA;1.94;Guard;1986;Italy
FRANCESCO CERULLO;1.80;;1990;Italy
MANTAS CESNAUSKIS;1.89;Guard;1981;Lithuania
SERHAT CETIN;1.97;Guard;1986;Turkey
LIONEL CHALMERS;1.78;Guard;1980;United States of America
KAMIL CHANAS;1.88;Guard;1985;Poland
GEORGIOS CHARALAMPOPOULOS;1.96;;1986;Greece
VASILIS CHARALAMPOPOULOS;2.02;Forward;1997;Greece
KONSTANTINOS CHARISIS;2.08;;1979;Greece
BRIAN CHASE;1.78;Guard;1981;United States of America
MIRE CHATMAN;1.87;Guard;1978;United States of America
NIKOLAOS CHATZIS;1.95;Guard;1976;Greece
EVGENII CHERNIAVSKII;;Guard;1984;Russian Federation
WILL CHERRY;1.85;Guard;1991;United States of America
MASSIMO CHESSA;1.88;Guard;1988;Italy
SILAS CHEUNG;1.88;Guard;1973;United Kingdom
ROBERTO CHIACIG;2.08;Center;1974;Italy
SERGEI CHIKALKIN;1.96;Guard;1975;Russian Federation
JOSH CHILDRESS;2.03;Forward;1983;United States of America
