ACTION|CONSOLE|COORD_X|COORD_Y|FASTBREAK|ID_ACTION|ID_PLAYER|MINUTE|NUM_ANOT|PLAYER|POINTS|POINTS_A|POINTS_B|POINTS_OFF_TURNOVER|SECOND_CHANCE|TEAM|UTC|ZONE|Game
Free Throw In|01:00|-1|-1||FTM|PTFV      |19|266|WOODS, QYNTEL|1|39|40|||SOP       || |81
Three Pointer|01:00|-683|-31||3FGM|PTGB      |19|267|LLULL, SERGIO|3|39|43|||MAD       ||H|81
Three Pointer|00:00|-646|250||3FGM|PTFV      |20|270|WOODS, QYNTEL|3|42|43|||SOP       ||H|81
Missed Two Pointer|00:00|-181|112||2FGA|PJNN      |20|272|VELICKOVIC, NOVICA|0|42|43|||MAD       ||B|81
Free Throw In|00:00|-1|-1||FTM|P000378   |20|276|EWING, DANIEL|1|43|43|||SOP       || |81
Free Throw In|00:00|-1|-1||FTM|P000378   |20|277|EWING, DANIEL|1|44|43|||SOP       || |81
Missed Two Pointer|00:00|219|508||2FGA|P000747   |20|278|SOW, PAPE|0|44|43|||SOP       ||G|81
Layup Made|00:00|-62|50||LAYUPMD|PTFV      |20|280|WOODS, QYNTEL|2|46|43|||SOP       ||B|81
Missed Three Pointer|00:00|332|834||3FGA|PCBX      |20|281|PRIGIONI, PABLO|0|46|43|||MAD       ||I|81
Two Pointer|09:00|-263|194||2FGM|PAAX      |21|293|REYES, FELIPE|2|46|45|||MAD       ||D|81
Layup Made|09:00|-138|87||LAYUPMD|PBJR      |21|300|KAUKENAS, RIMANTAS|2|46|47|||MAD       ||B|81
Missed Two Pointer|08:00|-282|-18||2FGA|PTFV      |22|302|WOODS, QYNTEL|0|46|47|||SOP       ||B|81
Layup Made|08:00|106|75||LAYUPMD|PAAX      |22|306|REYES, FELIPE|2|46|49|||MAD       ||C|81
Three Pointer|08:00|570|432||3FGM|P000541   |22|314|LOGAN, DAVID|3|49|49|||SOP       ||I|81
Layup Made|07:00|-156|69||LAYUPMD|PAHV      |23|319|GARBAJOSA, JORGE|2|49|51|||MAD       ||B|81
Missed Three Pointer|07:00|432|658||3FGA|P000378   |23|320|EWING, DANIEL|0|49|51|||SOP       ||I|81
