Player;G;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;Team;Season
Branko Lazic;30;20.4;1.1;3.5;324;0.5;1.9;259;0.6;1.6;404;0.6;0.6;944;0.8;1.2;2.0;0.9;0.8;0.1;0.4;3.0;3.3;Crvena Zvezda mts Belgrade;18
Milko Bjelica;29;26.0;3.2;8.2;397;0.9;3.1;297;2.3;5.0;459;1.8;2.6;703;1.2;2.5;3.7;1.3;0.4;0.2;0.7;2.6;9.2;Crvena Zvezda mts Belgrade;18
James Feldeine;28;25.0;3.9;10.5;374;1.5;4.3;345;2.5;6.3;394;2.3;2.6;865;0.4;1.3;1.6;2.9;1.2;0.1;1.4;1.4;11.6;Crvena Zvezda mts Belgrade;18
Stefan Jankovic;28;11.9;1.5;3.9;389;0.3;1.3;189;1.3;2.5;493;0.6;0.7;842;1.0;1.5;2.5;0.5;0.4;0.4;0.5;2.0;3.8;Crvena Zvezda mts Belgrade;18
Ognjen Dobric;26;15.2;2.3;5.2;452;1.0;3.0;351;1.3;2.2;586;0.7;0.9;826;1.0;1.2;2.3;0.4;0.6;0.2;0.4;1.3;6.5;Crvena Zvezda mts Belgrade;18
Dejan Davidovac;24;15.6;2.1;3.8;543;0.9;2.0;468;1.2;1.9;622;1.4;1.8;773;0.6;1.4;2.0;1.2;0.7;0.3;0.8;2.0;6.5;Crvena Zvezda mts Belgrade;18
Nemanja Dangubic;18;20.2;2.6;5.4;469;1.2;2.6;468;1.3;2.8;471;1.1;1.4;800;0.9;2.5;3.4;1.2;0.7;0.1;1.0;3.1;7.4;Crvena Zvezda mts Belgrade;18
Pero Antic;18;18.2;1.8;5.6;317;1.1;4.1;274;0.7;1.6;429;1.5;1.9;771;0.9;2.5;3.4;1.1;0.7;0.1;0.7;2.4;6.2;Crvena Zvezda mts Belgrade;18
Dylan Ennis;18;13.0;2.0;5.6;356;1.0;2.5;400;1.0;3.1;321;1.5;1.7;871;0.2;1.6;1.8;1.6;0.4;0.1;1.3;1.7;6.5;Crvena Zvezda mts Belgrade;18
Nikola Jovanovic;16;8.1;1.6;2.9;543;0.1;0.2;333;1.5;2.7;558;0.4;1.1;333;1.3;1.4;2.8;0.2;0.1;0.2;0.3;1.2;3.6;Crvena Zvezda mts Belgrade;18
